airing_id,date,timestamp,network,network_type,daypart,program,dma,duration_seconds,creative_id,impressions,reach_pct,frequency,cost,cpm,is_national,is_holiday
A000000,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,New_York,30,creative_A_brand,34624,0.1991,0.02,398.28,12.27,True,True
A000001,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Los_Angeles,30,creative_A_brand,22109,0.1965,0.01,289.66,12.27,True,True
A000002,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Chicago,30,creative_A_brand,14179,0.2272,0.01,181.04,12.27,True,True
A000003,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Houston,30,creative_A_brand,11645,0.2062,0.01,144.83,12.27,True,True
A000004,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Phoenix,30,creative_A_brand,9052,0.1926,0.02,108.62,12.27,True,True
A000005,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Philadelphia,30,creative_A_brand,12729,0.213,0.01,162.93,12.27,True,True
A000006,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Dallas,30,creative_A_brand,11702,0.2507,0.01,144.83,12.27,True,True
A000007,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,NBA Basketball,Atlanta,30,creative_A_brand,9709,0.2263,0.01,126.72,12.27,True,True
A000008,2023-01-01,2023-01-01 20:30:00,HGTV,cable,primetime,Fixer Upper,Philadelphia,15,creative_C_testimonial,78715,0.2415,0.07,506.71,6.1,False,True
A000009,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,New_York,30,creative_B_product,16117,0.115,0.01,134.32,8.25,True,True
A000010,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Los_Angeles,30,creative_B_product,12850,0.1309,0.01,97.69,8.25,True,True
A000011,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Chicago,30,creative_B_product,7143,0.1234,0.01,61.06,8.25,True,True
A000012,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Houston,30,creative_B_product,5944,0.1421,0.01,48.85,8.25,True,True
A000013,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Phoenix,30,creative_B_product,4746,0.1319,0.01,36.63,8.25,True,True
A000014,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Philadelphia,30,creative_B_product,6713,0.1242,0.01,54.95,8.25,True,True
A000015,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Dallas,30,creative_B_product,6471,0.1251,0.01,48.85,8.25,True,True
A000016,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,House Hunters,Atlanta,30,creative_B_product,4948,0.1102,0.01,42.74,8.25,True,True
A000017,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,New_York,15,creative_C_testimonial,40486,0.3512,0.01,1356.97,34.23,True,True
A000018,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Los_Angeles,15,creative_C_testimonial,29704,0.3498,0.01,986.89,34.23,True,True
A000019,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Chicago,15,creative_C_testimonial,19282,0.2939,0.01,616.8,34.23,True,True
A000020,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Houston,15,creative_C_testimonial,13250,0.2845,0.01,493.44,34.23,True,True
A000021,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Phoenix,15,creative_C_testimonial,11177,0.3199,0.01,370.08,34.23,True,True
A000022,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Philadelphia,15,creative_C_testimonial,16515,0.273,0.01,555.12,34.23,True,True
A000023,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Dallas,15,creative_C_testimonial,14593,0.286,0.01,493.44,34.23,True,True
A000024,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Grey's Anatomy,Atlanta,15,creative_C_testimonial,13804,0.3419,0.01,431.76,34.23,True,True
A000025,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,New_York,15,creative_A_brand,27314,0.1925,0.01,238.95,9.09,True,True
A000026,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Los_Angeles,15,creative_A_brand,19517,0.2286,0.01,173.78,9.09,True,True
A000027,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,MLB Postseason,Chicago,15,creative_A_brand,11239,0.2649,0.01,108.61,9.09,True,True
