airing_id,date,timestamp,network,network_type,daypart,dma,creative_id,duration_seconds,impressions,cost,actual_sessions,baseline_sessions,incremental_sessions,incremental_conversions,incremental_revenue,roas,window_records
A000000,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,New_York,creative_A_brand,30,34624,398.28,56.0,30.0,26.0,0,0.0,0.0,4
A000001,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Los_Angeles,creative_A_brand,30,22109,289.66,19.0,23.1,0.0,0,0.0,0.0,4
A000002,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Chicago,creative_A_brand,30,14179,181.04,29.0,13.1,15.9,2,327.84,1.811,4
A000003,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Houston,creative_A_brand,30,11645,144.83,13.0,9.4,3.6,0,0.0,0.0,4
A000004,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Phoenix,creative_A_brand,30,9052,108.62,7.0,7.3,0.0,0,0.0,0.0,4
A000005,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Philadelphia,creative_A_brand,30,12729,162.93,10.0,10.3,0.0,0,0.0,0.0,4
A000006,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Dallas,creative_A_brand,30,11702,144.83,18.0,9.0,9.0,0,0.0,0.0,4
A000007,2023-01-01,2023-01-01 22:30:00,TNT,cable,primetime,Atlanta,creative_A_brand,30,9709,126.72,7.0,7.5,0.0,0,0.0,0.0,4
A000008,2023-01-01,2023-01-01 20:30:00,HGTV,cable,primetime,Philadelphia,creative_C_testimonial,15,78715,506.71,17.0,16.5,0.5,0,0.0,0.0,4
A000009,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,New_York,creative_B_product,30,16117,134.32,38.0,20.9,17.1,0,0.0,0.0,4
A000010,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Los_Angeles,creative_B_product,30,12850,97.69,31.0,17.0,14.0,1,156.07,1.598,4
A000011,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Chicago,creative_B_product,30,7143,61.06,29.0,9.1,19.9,1,121.24,1.986,4
A000012,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Houston,creative_B_product,30,5944,48.85,11.0,6.0,5.0,1,169.95,3.479,4
A000013,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Phoenix,creative_B_product,30,4746,36.63,7.0,5.5,1.5,0,0.0,0.0,4
A000014,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Philadelphia,creative_B_product,30,6713,54.95,8.0,7.0,1.0,0,0.0,0.0,4
A000015,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Dallas,creative_B_product,30,6471,48.85,8.0,5.7,2.3,0,0.0,0.0,4
A000016,2023-01-01,2023-01-01 17:45:00,HGTV,cable,early_fringe,Atlanta,creative_B_product,30,4948,42.74,2.0,5.6,0.0,0,0.0,0.0,4
A000017,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,New_York,creative_C_testimonial,15,40486,1356.97,45.0,41.4,3.6,0,0.0,0.0,4
A000018,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Los_Angeles,creative_C_testimonial,15,29704,986.89,73.0,30.1,42.9,3,437.75,0.444,4
A000019,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Chicago,creative_C_testimonial,15,19282,616.8,28.0,18.8,9.2,0,0.0,0.0,4
A000020,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Houston,creative_C_testimonial,15,13250,493.44,18.0,12.7,5.3,0,0.0,0.0,4
A000021,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Phoenix,creative_C_testimonial,15,11177,370.08,12.0,11.0,1.0,0,0.0,0.0,4
A000022,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Philadelphia,creative_C_testimonial,15,16515,555.12,15.0,15.5,0.0,0,0.0,0.0,4
A000023,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Dallas,creative_C_testimonial,15,14593,493.44,27.0,11.2,15.8,0,0.0,0.0,4
A000024,2023-01-01,2023-01-01 19:00:00,ABC,broadcast,sports,Atlanta,creative_C_testimonial,15,13804,431.76,8.0,11.1,0.0,0,0.0,0.0,4
A000025,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,New_York,creative_A_brand,15,27314,238.95,61.0,30.0,31.0,1,147.36,0.617,4
A000026,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Los_Angeles,creative_A_brand,15,19517,173.78,18.0,23.1,0.0,0,0.0,0.0,4
A000027,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Chicago,creative_A_brand,15,11239,108.61,23.0,13.1,9.9,1,131.98,1.215,4
A000028,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Houston,creative_A_brand,15,9747,86.89,16.0,9.4,6.6,0,0.0,0.0,4
A000029,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Phoenix,creative_A_brand,15,7714,65.17,11.0,7.3,3.7,0,0.0,0.0,4
A000030,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Philadelphia,creative_A_brand,15,10314,97.75,22.0,10.3,11.7,0,0.0,0.0,4
A000031,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Dallas,creative_A_brand,15,9475,86.89,14.0,9.0,5.0,0,0.0,0.0,4
A000032,2023-01-01,2023-01-01 22:15:00,TBS,cable,primetime,Atlanta,creative_A_brand,15,8224,76.03,13.0,7.5,5.5,0,0.0,0.0,4
A000033,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,New_York,creative_A_brand,15,23829,884.89,30.0,29.9,0.1,0,0.0,0.0,4
A000034,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Los_Angeles,creative_A_brand,15,16331,643.55,35.0,23.3,11.7,0,0.0,0.0,4
A000035,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Chicago,creative_A_brand,15,10457,402.22,10.0,12.6,0.0,0,0.0,0.0,4
A000036,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Houston,creative_A_brand,15,8340,321.78,16.0,8.3,7.7,2,355.88,1.106,4
A000037,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Phoenix,creative_A_brand,15,6748,241.33,10.0,7.3,2.7,0,0.0,0.0,4
A000038,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Philadelphia,creative_A_brand,15,10645,362.0,11.0,9.8,1.2,0,0.0,0.0,4
A000039,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Dallas,creative_A_brand,15,8217,321.78,11.0,8.4,2.6,0,0.0,0.0,4
A000040,2023-01-01,2023-01-01 18:15:00,NBC,broadcast,sports,Atlanta,creative_A_brand,15,7264,281.55,10.0,7.8,2.2,0,0.0,0.0,4
A000041,2023-01-01,2023-01-01 17:30:00,ABC,broadcast,sports,Chicago,creative_B_product,30,161668,10155.86,223.0,7.9,215.1,8,1018.58,0.1,4
A000042,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,New_York,creative_C_testimonial,60,35262,1803.18,17.0,13.7,3.3,0,0.0,0.0,4
A000043,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Los_Angeles,creative_C_testimonial,60,23819,1311.4,13.0,12.1,0.9,0,0.0,0.0,4
A000044,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Chicago,creative_C_testimonial,60,16075,819.63,6.0,6.4,0.0,0,0.0,0.0,4
A000045,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Houston,creative_C_testimonial,60,11965,655.7,5.0,4.4,0.6,0,0.0,0.0,4
A000046,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Phoenix,creative_C_testimonial,60,10069,491.78,15.0,4.1,10.9,0,0.0,0.0,4
A000047,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Philadelphia,creative_C_testimonial,60,13931,737.67,16.0,5.2,10.8,0,0.0,0.0,4
A000048,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Dallas,creative_C_testimonial,60,12773,655.7,12.0,3.9,8.1,0,0.0,0.0,4
A000049,2023-01-01,2023-01-01 16:45:00,ESPN,cable,sports,Atlanta,creative_C_testimonial,60,10168,573.74,8.0,4.0,4.0,1,152.8,0.266,4
A000050,2023-01-01,2023-01-01 15:45:00,ESPN,cable,sports,Philadelphia,creative_C_testimonial,30,102597,5526.02,85.0,4.0,81.0,2,356.35,0.064,4
A000051,2023-01-01,2023-01-01 01:00:00,Food_Network,cable,late_night,Houston,creative_B_product,15,26119,65.33,18.0,3.8,14.2,3,529.11,8.099,4
A000052,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,New_York,creative_A_brand,30,9193,97.61,33.0,28.7,4.3,1,155.87,1.597,4
A000053,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Los_Angeles,creative_A_brand,30,6965,70.99,25.0,21.8,3.2,1,125.31,1.765,4
A000054,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Chicago,creative_A_brand,30,4128,44.37,21.0,11.6,9.4,0,0.0,0.0,4
A000055,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Houston,creative_A_brand,30,3809,35.49,7.0,8.2,0.0,0,0.0,0.0,4
A000056,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Phoenix,creative_A_brand,30,2819,26.62,10.0,6.4,3.6,0,0.0,0.0,4
A000057,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Philadelphia,creative_A_brand,30,3793,39.93,14.0,10.2,3.8,0,0.0,0.0,4
A000058,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Dallas,creative_A_brand,30,3594,35.49,9.0,7.3,1.7,0,0.0,0.0,4
A000059,2023-01-02,2023-01-02 12:00:00,ESPN,cable,daytime,Atlanta,creative_A_brand,30,2877,31.06,2.0,7.3,0.0,0,0.0,0.0,4
A000060,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,New_York,creative_C_testimonial,30,5186,36.17,32.0,30.8,1.2,0,0.0,0.0,4
A000061,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Los_Angeles,creative_C_testimonial,30,3960,26.31,24.0,22.4,1.6,0,0.0,0.0,4
A000062,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Chicago,creative_C_testimonial,30,2232,16.44,8.0,14.1,0.0,0,0.0,0.0,4
A000063,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Houston,creative_C_testimonial,30,1831,13.15,10.0,9.3,0.7,0,0.0,0.0,4
A000064,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Phoenix,creative_C_testimonial,30,1459,9.87,14.0,7.5,6.5,0,0.0,0.0,4
A000065,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Philadelphia,creative_C_testimonial,30,2149,14.8,16.0,10.9,5.1,0,0.0,0.0,4
A000066,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Dallas,creative_C_testimonial,30,2119,13.15,9.0,8.5,0.5,0,0.0,0.0,4
A000067,2023-01-02,2023-01-02 08:45:00,ESPN,cable,early_morning,Atlanta,creative_C_testimonial,30,1608,11.51,7.0,7.5,0.0,0,0.0,0.0,4
A000068,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,New_York,creative_B_product,30,26573,897.58,99.0,50.6,48.4,0,0.0,0.0,4
A000069,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Los_Angeles,creative_B_product,30,19701,652.79,91.0,36.4,54.6,3,373.42,0.572,4
A000070,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Chicago,creative_B_product,30,11377,407.99,45.0,22.3,22.7,3,499.0,1.223,4
A000071,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Houston,creative_B_product,30,9371,326.39,18.0,15.2,2.8,0,0.0,0.0,4
A000072,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Phoenix,creative_B_product,30,7227,244.8,16.0,12.3,3.7,0,0.0,0.0,4
A000073,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Philadelphia,creative_B_product,30,9904,367.19,31.0,19.0,12.0,1,162.41,0.442,4
A000074,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Dallas,creative_B_product,30,8360,326.39,28.0,14.6,13.4,2,332.55,1.019,4
A000075,2023-01-02,2023-01-02 21:15:00,NBC,broadcast,primetime,Atlanta,creative_B_product,30,7222,285.59,28.0,13.1,14.9,0,0.0,0.0,4
A000076,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,New_York,creative_A_brand,30,30054,821.57,99.0,50.6,48.4,1,126.95,0.155,4
A000077,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Los_Angeles,creative_A_brand,30,21247,597.51,91.0,36.4,54.6,4,629.59,1.054,4
A000078,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Chicago,creative_A_brand,30,11799,373.44,45.0,22.3,22.7,0,0.0,0.0,4
A000079,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Houston,creative_A_brand,30,10453,298.75,18.0,15.2,2.8,0,0.0,0.0,4
A000080,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Phoenix,creative_A_brand,30,8128,224.06,16.0,12.3,3.7,0,0.0,0.0,4
A000081,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Philadelphia,creative_A_brand,30,11703,336.1,31.0,19.0,12.0,0,0.0,0.0,4
A000082,2023-01-02,2023-01-02 21:15:00,TNT,cable,sports,Dallas,creative_A_brand,30,10981,298.75,28.0,14.6,13.4,2,316.51,1.059,4
