month,total_airings,total_impressions,total_cost,total_incremental_sessions,total_incremental_conversions,total_incremental_revenue,avg_roas,avg_cpm
1,2441.0,29328824.0,944883.31,21623.6,1003.0,150202.84000000003,0.15896443339654293,0.0
2,1800.0,20353228.0,660158.64,14136.599999999999,679.0,102188.33,0.1547935962786157,0.0
3,1590.0,19889653.0,614060.76,13961.900000000001,630.0,93833.95000000001,0.15280890119082027,0.0
4,1437.0,16438515.0,506731.45999999996,10720.699999999999,487.0,73107.33,0.14427233312097892,0.0
5,1364.0,15780451.0,510921.98,10760.800000000001,498.0,73261.86000000002,0.14339148219851497,0.0
6,1291.0,14838176.0,448533.18999999994,9023.400000000001,417.0,61414.6,0.1369232007111893,0.0
7,1228.0,15950444.0,501880.53,11152.8,518.0,78034.87,0.15548495176730603,0.0
8,1308.0,15687206.0,528586.31,11707.5,589.0,86388.86,0.16343378246023813,0.0
9,1839.0,21266731.0,715791.49,16028.500000000002,737.0,109191.35,0.15254630926109503,0.0
10,2169.0,26516462.0,863390.84,22788.5,1023.0,153372.54,0.1776397581424422,0.0
11,2310.0,28001104.0,869530.6799999999,23411.699999999997,1060.0,158520.7,0.18230604583152837,0.0
12,2403.0,28179274.0,932788.3199999998,23368.199999999997,1180.0,178054.71,0.1908843691353254,0.0
