network,total_airings,total_impressions,total_cost,total_incremental_sessions,total_incremental_conversions,total_incremental_revenue,avg_roas,avg_cpm
ABC,2506.0,30572592.0,1263317.63,23590.5,1103.0,163862.72999999998,0.12970825872191777,0.0
CBS,2535.0,29376794.0,1275592.57,24022.2,1153.0,169450.8,0.13284084901811555,0.0
CNN,1562.0,17507728.0,450902.48000000004,13438.7,632.0,95157.15,0.21103709609226365,0.0
ESPN,2746.0,34564339.0,831652.96,25636.199999999997,1191.0,178980.78,0.2152108975840115,0.0
FOX,2554.0,29049476.0,1194703.9400000002,22076.2,1013.0,151502.16000000003,0.12681146761765932,0.0
Food_Network,1779.0,20948261.0,465577.67,14367.0,650.0,97616.17000000001,0.2096667780480108,0.0
HGTV,1724.0,19934443.0,465404.97,13754.3,694.0,103420.45000000001,0.22221604122534405,0.0
NBC,2309.0,27415196.0,1109586.04,19669.6,898.0,133555.71000000002,0.12036534814370954,0.0
TBS,1643.0,20308114.0,474911.83999999997,15522.6,724.0,109526.59000000001,0.2306250987551711,0.0
TNT,1822.0,22553125.0,565607.41,16606.899999999998,763.0,114499.4,0.20243617388251683,0.0
