week,actual,counterfactual,cf_lower,cf_upper,point_effect,cum_effect
1,763608.07,814595.3671103704,716497.0367021783,916194.5409266087,-50987.29711037048,-50987.29711037048
2,804241.49,791101.7218691595,693890.0979891293,891704.7977594606,13139.7681308405,-37847.528979529976
3,781113.22,788652.2240126889,688081.4043565446,897851.254616737,-7539.004012688878,-45386.532992218854
4,903581.43,823167.0773682421,719079.6039314881,928604.9314302098,80414.35263175797,35027.81963953911
5,888081.94,810660.6824069992,710050.0097992247,910036.1009552649,77421.25759300077,112449.07723253989
6,860435.27,795529.422872474,697063.2493338429,895782.1710877445,64905.84712752607,177354.92436006595
7,882381.08,797731.4578982304,693457.7696072727,902371.0178408512,84649.62210176955,262004.5464618355
8,871754.36,790621.1298099327,689960.6115785266,887257.1281594236,81133.23019006732,343137.7766519028
9,860150.51,794161.7239595952,695073.0201837234,895272.9726703608,65988.78604040481,409126.56269230763
10,815245.94,715064.2153058482,615222.5355293497,819786.1235986818,100181.72469415178,509308.2873864594
11,794561.26,776137.878108464,671713.2844175121,880010.2767895749,18423.38189153606,527731.6692779955
12,886298.9,792474.2796739263,694684.2398268897,891708.4513255499,93824.62032607372,621556.2896040692
13,846035.94,778407.6437506367,675837.504664107,884601.9554731947,67628.29624936322,689184.5858534324
14,825231.66,782529.1676077008,686397.4716043227,879430.4045301086,42702.49239229923,731887.0782457317
15,831124.94,766672.8485079989,666154.1205692303,870109.5413060471,64452.091492001084,796339.1697377327
16,806596.69,758712.9818675003,662616.9915992989,850627.9958750036,47883.708132499596,844222.8778702323
17,804684.06,771619.7329798997,670704.7261164481,877358.9109746107,33064.32702010032,877287.2048903327
18,795029.51,780380.5116666543,685290.5395762395,884769.4864019073,14648.99833334575,891936.2032236784
19,744431.11,758508.0323903507,657217.1882611816,861333.9916434822,-14076.922390350723,877859.2808333277
20,780292.04,771050.5395240521,670062.0891140572,875854.1473407572,9241.500475947978,887100.7813092757
21,758735.74,778742.319246072,673473.3357905993,881635.7779545393,-20006.579246071982,867094.2020632037
22,846100.97,768616.0792401396,663418.4117151828,865997.1622682576,77484.8907598604,944579.0928230641
23,721883.76,713024.4928858591,606795.1829699151,815330.5590040886,8859.267114140908,953438.359937205
24,748884.77,755980.27728444,647263.0020339072,861441.3518306854,-7095.507284439984,946342.852652765
25,760920.65,753097.5380713897,648130.504464835,852985.5635662866,7823.111928610364,954165.9645813754
26,711905.88,759036.3388786791,648404.2034051014,866296.938815158,-47130.458878679085,907035.5057026963
27,706950.11,772726.9019667909,668695.4751503818,878462.8876850364,-65776.79196679092,841258.7137359054
28,690768.8,766562.6800425239,664568.3561380836,875700.3956418228,-75793.88004252384,765464.8336933815
29,726267.0,762170.4466000346,664892.0798192897,868999.045797628,-35903.4466000346,729561.3870933469
30,664739.24,708666.7606994412,608063.2069028029,812100.3505817559,-43927.5206994412,685633.8663939057
31,710690.66,763458.4652340875,664321.0070348268,867382.796929889,-52767.805234087515,632866.0611598182
32,677448.41,767049.2197307597,661849.6506059893,871767.9105412703,-89600.8097307597,543265.2514290585
33,688808.4,764930.2680396566,660374.95873495,869369.2519438044,-76121.86803965655,467143.38338940195
34,674412.65,776041.4890141191,668797.4154506711,872426.4042555797,-101628.83901411912,365514.5443752828
35,716135.2,757019.3071650375,656518.1615666279,857625.5564007208,-40884.10716503754,324630.4372102453
36,665366.75,796651.0094035956,694701.113190287,900547.9273476641,-131284.25940359558,193346.1778066497
37,733780.97,790372.3229216285,685876.9445828596,887495.9033637599,-56591.35292162851,136754.8248850212
38,731787.28,784011.1287738628,686186.5480585628,884488.9814165449,-52223.84877386282,84530.97611115838
39,705318.18,789849.1561111491,691559.3808608621,892160.5945645651,-84530.97611114907,9.313225746154785e-09
40,783092.59,791920.0187565307,692860.0420610841,898334.0315140954,-8827.428756530746,-8827.428756521433
41,753010.85,794905.4963036857,688761.4369578796,892909.0820995535,-41894.64630368573,-50722.075060207164
42,781320.03,820812.6191724633,722164.8606920214,922298.9210918016,-39492.58917246328,-90214.66423267045
43,772582.18,795914.6876681444,688591.7242800448,905656.9000913658,-23332.507668144302,-113547.17190081475
44,748552.67,813310.262318151,714319.2351474725,923179.0807824741,-64757.59231815091,-178304.76421896566
45,814601.94,852598.3634745316,746028.5176821992,949967.6712756052,-37996.42347453162,-216301.18769349728
46,858195.27,838179.3182964213,732923.6354358932,939404.4917780194,20015.9517035787,-196285.23598991858
47,832808.63,822414.4288345029,714256.7185081674,920943.4792437888,10394.20116549707,-185891.0348244215
48,820264.47,852662.6990669623,754082.4324498416,952476.3683245551,-32398.229066962376,-218289.2638913839
49,873628.58,822102.9249633161,713111.5054296515,918583.1312409963,51525.65503668389,-166763.6088547
50,887781.05,844783.6700287187,734379.6290819008,944779.9371394191,42997.37997128139,-123766.2288834186
51,899882.71,842940.4175589229,740795.9654370813,948297.6137047568,56942.292441077065,-66823.93644234154
52,876937.75,822862.7150673257,728379.8631055073,928103.1271723409,54075.03493267426,-12748.901509667281
