week,actual,cqr_lower,cqr_upper,cqr_width,covered
1,763608.07,694740.8343222771,842197.3702243719,147456.5359020948,1
2,804241.49,726703.9973049903,929277.4141151104,202573.4168101201,1
3,781113.22,726703.9973049903,852481.1650178421,125777.16771285178,1
4,903581.43,694740.8343222771,903581.43,208840.59567772294,1
5,888081.94,694740.8343222771,937811.9912545257,243071.15693224862,1
6,860435.27,694740.8343222771,867335.399991928,172594.5656696509,1
7,882381.08,668832.2488144584,903229.3907951125,234397.1419806541,1
8,871754.36,694740.8343222771,922423.63075336,227682.79643108288,1
9,860150.51,694740.8343222771,922370.0228068109,227629.1884845338,1
10,815245.94,694740.8343222771,919939.4153362855,225198.58101400838,1
11,794561.26,723989.0920989065,919939.4153362855,195950.32323737897,1
12,886298.9,694740.8343222771,936080.2148840174,241339.38056174025,1
13,846035.94,694740.8343222771,897502.3618185952,202761.5274963181,1
14,825231.66,668832.2488144584,897722.2063546673,228889.95754020894,1
15,831124.94,668832.2488144584,897502.3618185952,228670.11300413683,1
16,806596.69,688460.7654306641,897502.3618185952,209041.59638793115,1
17,804684.06,694740.8343222771,897502.3618185952,202761.5274963181,1
18,795029.51,694740.8343222771,897502.3618185952,202761.5274963181,1
19,744431.11,694656.0715922698,897502.3618185952,202846.2902263254,1
20,780292.04,694740.8343222771,897502.3618185952,202761.5274963181,1
21,758735.74,694740.8343222771,897502.3618185952,202761.5274963181,1
22,846100.97,694740.8343222771,897502.3618185952,202761.5274963181,1
23,721883.76,668832.2488144584,884816.560006909,215984.31119245058,1
24,748884.77,692130.0760360969,897502.3618185952,205372.2857824983,1
25,760920.65,694740.8343222771,897502.3618185952,202761.5274963181,1
26,711905.88,662124.2634446629,897502.3618185952,235378.0983739323,1
27,706950.11,657167.262475365,897502.3618185952,240335.09934323025,1
28,690768.8,663662.0617895784,897502.3618185952,233840.3000290168,1
29,726267.0,667708.8874518144,897502.3618185952,229793.47436678084,1
30,664739.24,614957.7866136866,897502.3618185952,282544.5752049086,1
31,710690.66,660918.2387370866,897502.3618185952,236584.12308150856,1
32,677448.41,625630.1684371525,897502.3618185952,271872.1933814427,1
33,688808.4,634221.5992977371,897502.3618185952,263280.7625208581,1
34,674412.65,624631.0728092602,897502.3618185952,272871.289009335,1
35,716135.2,657473.6555533037,897502.3618185952,240028.70626529155,1
36,665366.75,683543.1235081361,899541.0146846537,215997.8911765176,0
37,733780.97,683761.2323061066,899541.0146846537,215779.78237854713,1
38,731787.28,682010.3466716737,897502.3618185952,215492.0151469215,1
39,705318.18,651611.0654129101,897502.3618185952,245891.29640568513,1
40,783092.59,657734.803641913,900776.780766406,243041.977124493,1
41,753010.85,684407.6134689832,904898.242334134,220490.62886515073,1
42,781320.03,684407.6134689832,899543.9699149571,215136.35644597386,1
43,772582.18,683643.3891497317,899439.5214028801,215796.13225314836,1
44,748552.67,684407.6134689832,899591.8552501814,215184.2417811982,1
45,814601.94,693717.1574596331,904469.4749058225,210752.31744618947,1
46,858195.27,695298.4722120207,909824.8094781237,214526.33726610302,1
47,832808.63,693717.1574596331,897622.93657788,203905.77911824698,1
48,820264.47,693717.1574596331,894338.0139596538,200620.85650002072,1
49,873628.58,694740.8343222771,923409.197941704,228668.36361942685,1
50,887781.05,694740.8343222771,937608.2446909972,242867.41036872007,1
51,899882.71,726703.9973049903,949710.1655919689,223006.16828697862,1
52,876937.75,694740.8343222771,942991.9044537736,248251.07013149653,1
