date,dma,sessions,direct_sessions,organic_sessions,paid_sessions,social_sessions,conversions,revenue
2023-01-01,Atlanta,437,58,34,5,336,10,1371.79
2023-01-01,Chicago,872,280,151,24,408,20,2632.23
2023-01-01,Dallas,453,66,39,8,327,15,1876.05
2023-01-01,Houston,477,69,44,4,347,14,1846.04
2023-01-01,Los_Angeles,1186,317,228,90,543,33,4352.09
2023-01-01,New_York,1533,437,321,146,619,29,4053.19
2023-01-01,Philadelphia,665,165,100,17,371,18,2350.99
2023-01-01,Phoenix,451,63,36,0,344,7,971.5699999999999
2023-01-02,Atlanta,479,79,45,8,339,10,1363.3
2023-01-02,Chicago,843,197,140,48,445,12,1579.02
2023-01-02,Dallas,560,99,64,16,373,13,1725.84
2023-01-02,Houston,581,101,76,16,384,10,1417.94
2023-01-02,Los_Angeles,1465,410,309,143,586,30,4132.99
2023-01-02,New_York,1943,596,434,221,669,62,8128.59
2023-01-02,Philadelphia,706,150,97,28,417,19,2405.47
2023-01-02,Phoenix,505,76,53,7,361,8,1080.57
2023-01-03,Atlanta,688,148,92,28,400,15,2036.34
2023-01-03,Chicago,1125,276,212,89,537,28,3439.08
2023-01-03,Dallas,926,285,158,24,433,19,2645.92
2023-01-03,Houston,751,170,108,32,425,18,2415.78
2023-01-03,Los_Angeles,1947,586,439,228,683,36,4834.25
2023-01-03,New_York,2686,904,645,333,777,53,7000.74
2023-01-03,Philadelphia,973,237,168,62,490,19,2711.46
2023-01-03,Phoenix,623,116,74,12,407,21,2982.2
2023-01-04,Atlanta,668,124,89,22,415,16,2044.86
2023-01-04,Chicago,1135,297,212,90,514,28,3760.13
2023-01-04,Dallas,741,154,107,37,428,17,2271.81
2023-01-04,Houston,752,162,114,32,429,16,2161.47
2023-01-04,Los_Angeles,1902,574,437,209,665,58,7884.7
2023-01-04,New_York,2686,917,635,326,768,65,8919.94
2023-01-04,Philadelphia,932,218,158,56,485,22,2944.49
2023-01-04,Phoenix,652,119,87,21,417,19,2682.25
2023-01-05,Atlanta,698,136,100,23,428,17,2088.93
2023-01-05,Chicago,1144,296,221,86,522,26,3534.29
2023-01-05,Dallas,729,143,107,28,443,17,2142.49
2023-01-05,Houston,811,174,121,38,461,12,1663.65
2023-01-05,Los_Angeles,2175,718,490,237,700,51,6568.54
2023-01-05,New_York,2629,862,630,343,773,69,8946.79
2023-01-05,Philadelphia,940,219,176,57,473,21,2672.98
2023-01-05,Phoenix,684,133,108,37,399,16,2112.85
2023-01-06,Atlanta,716,151,109,35,412,15,2017.34
2023-01-06,Chicago,1183,312,229,90,538,42,5911.1900000000005
2023-01-06,Dallas,801,172,123,42,454,14,1885.44
2023-01-06,Houston,856,195,139,47,466,20,2716.72
2023-01-06,Los_Angeles,2181,689,498,260,713,52,7054.62
2023-01-06,New_York,2709,866,662,379,795,73,9641.94
2023-01-06,Philadelphia,1076,266,203,78,518,22,3029.55
2023-01-06,Phoenix,659,124,93,28,411,15,2190.83
2023-01-07,Atlanta,557,86,73,15,375,15,2175.04
2023-01-07,Chicago,1056,285,195,65,493,31,4405.0
2023-01-07,Dallas,653,131,91,27,390,18,2631.98
2023-01-07,Houston,724,156,108,35,412,18,2465.91
2023-01-07,Los_Angeles,1687,494,367,169,641,46,5995.05
2023-01-07,New_York,2187,695,506,268,702,51,7163.18
2023-01-07,Philadelphia,763,173,119,35,421,15,2042.68
2023-01-07,Phoenix,531,83,56,14,372,17,2105.6
2023-01-08,Atlanta,584,109,70,15,380,8,1055.69
2023-01-08,Chicago,893,208,142,53,470,20,2631.39
2023-01-08,Dallas,726,197,115,19,376,22,2877.98
2023-01-08,Houston,669,136,95,31,387,11,1467.08
2023-01-08,Los_Angeles,1580,461,330,156,615,37,5146.65
2023-01-08,New_York,2108,685,483,231,687,42,5697.71
2023-01-08,Philadelphia,742,153,115,38,421,18,2356.3
2023-01-08,Phoenix,477,62,50,7,347,15,2126.62
2023-01-09,Atlanta,625,116,91,22,391,15,1989.33
2023-01-09,Chicago,1044,262,192,80,506,38,5194.3
2023-01-09,Dallas,921,281,164,36,424,22,3303.24
2023-01-09,Houston,742,160,122,32,418,20,2555.13
2023-01-09,Los_Angeles,1974,608,443,225,684,37,5014.67
2023-01-09,New_York,2555,826,620,340,759,57,7441.85
2023-01-09,Philadelphia,856,186,148,45,471,21,2851.35
2023-01-09,Phoenix,595,110,81,20,378,15,2121.19
2023-01-10,Atlanta,617,107,84,16,407,15,2085.87
2023-01-10,Chicago,1146,300,223,85,523,23,3134.0299999999997
2023-01-10,Dallas,761,150,116,31,457,23,3102.18
2023-01-10,Houston,768,161,120,34,439,16,2368.34
2023-01-10,Los_Angeles,1917,587,423,209,685,60,7888.34
2023-01-10,New_York,2534,835,605,324,752,59,8103.49
2023-01-10,Philadelphia,948,225,158,60,492,21,3003.98
2023-01-10,Phoenix,622,117,79,17,401,17,2371.73
2023-01-11,Atlanta,801,199,128,29,420,24,3316.02
2023-01-11,Chicago,1130,284,213,87,528,36,4547.92
2023-01-11,Dallas,719,145,113,31,414,17,2081.09
2023-01-11,Houston,791,172,121,44,440,21,3059.42
2023-01-11,Los_Angeles,2124,698,495,231,677,59,7902.29
2023-01-11,New_York,2719,941,650,312,778,59,7754.62
2023-01-11,Philadelphia,896,209,151,56,462,27,3553.6800000000003
2023-01-11,Phoenix,584,104,74,14,382,21,2774.39
2023-01-12,Atlanta,850,256,139,29,404,26,3882.2
2023-01-12,Chicago,1222,324,239,103,541,28,3696.8
2023-01-12,Dallas,797,185,130,32,432,27,3504.4
2023-01-12,Houston,774,157,110,35,460,15,2173.16
2023-01-12,Los_Angeles,2058,636,464,231,700,50,6596.42
2023-01-12,New_York,2769,917,669,360,799,82,11272.46
2023-01-12,Philadelphia,998,244,176,67,495,30,3793.96
2023-01-12,Phoenix,724,161,108,24,412,16,2378.48
2023-01-13,Atlanta,737,157,108,37,425,21,2841.8
2023-01-13,Chicago,1282,336,254,113,563,42,5861.28
2023-01-13,Dallas,754,160,118,34,431,22,2921.99
2023-01-13,Houston,821,185,128,42,449,27,3570.09
2023-01-13,Los_Angeles,2164,664,499,260,726,57,7921.08
2023-01-13,New_York,2788,898,684,374,819,80,10754.66
2023-01-13,Philadelphia,1042,256,190,82,506,27,3674.56
2023-01-13,Phoenix,686,135,96,32,415,17,2287.99
2023-01-14,Atlanta,576,105,69,19,377,14,1796.94
2023-01-14,Chicago,1006,249,176,64,506,16,2042.8400000000001
2023-01-14,Dallas,596,106,79,17,390,16,2214.7
2023-01-14,Houston,634,108,83,23,415,10,1429.84
2023-01-14,Los_Angeles,1828,593,410,179,628,51,6870.4400000000005
2023-01-14,New_York,2165,676,490,269,713,53,7145.93
2023-01-14,Philadelphia,963,313,178,37,428,24,3246.72
2023-01-14,Phoenix,529,84,59,11,373,8,1243.28
2023-01-15,Atlanta,546,87,64,11,381,8,967.02
2023-01-15,Chicago,868,199,141,57,468,28,3686.17
2023-01-15,Dallas,593,111,78,12,382,15,1957.01
2023-01-15,Houston,551,92,61,17,376,9,1207.12
2023-01-15,Los_Angeles,1508,426,319,149,603,33,4572.65
2023-01-15,New_York,2115,654,492,255,700,55,6875.15
2023-01-15,Philadelphia,777,166,113,38,441,19,2334.42
2023-01-15,Phoenix,698,194,112,15,368,23,3603.2000000000003
2023-01-16,Atlanta,451,52,42,6,345,14,1943.02
2023-01-16,Chicago,841,190,135,47,460,22,2788.88
2023-01-16,Dallas,665,150,96,23,391,13,1787.0900000000001
2023-01-16,Houston,665,156,93,16,389,18,2298.56
2023-01-16,Los_Angeles,1441,408,292,138,583,36,5088.51
2023-01-16,New_York,2073,684,479,220,670,51,7018.01
2023-01-16,Philadelphia,707,141,106,28,424,18,2516.64
2023-01-16,Phoenix,547,108,62,7,361,5,700.4300000000001
2023-01-17,Atlanta,674,131,91,23,421,17,2473.87
2023-01-17,Chicago,1083,276,196,80,521,22,2771.36
2023-01-17,Dallas,731,155,109,37,423,27,3902.96
2023-01-17,Houston,769,172,121,40,426,19,2608.76
2023-01-17,Los_Angeles,1934,590,436,219,672,48,6075.83
2023-01-17,New_York,2555,837,608,323,772,64,8791.64
2023-01-17,Philadelphia,970,241,169,57,490,27,3656.71
2023-01-17,Phoenix,619,107,88,22,396,11,1561.94
2023-01-18,Atlanta,735,179,110,23,405,17,2605.71
2023-01-18,Chicago,1123,286,208,82,535,33,4341.24
2023-01-18,Dallas,735,158,106,32,423,16,1905.3700000000001
2023-01-18,Houston,751,156,109,35,441,15,2092.71
2023-01-18,Los_Angeles,1946,597,439,220,676,57,7658.99
2023-01-18,New_York,2603,844,630,336,771,48,6603.89
2023-01-18,Philadelphia,965,248,161,59,475,19,2958.82
2023-01-18,Phoenix,711,161,106,17,415,20,2591.4100000000003
2023-01-19,Atlanta,676,131,94,28,412,12,1542.3
2023-01-19,Chicago,1210,324,231,91,550,34,4637.35
2023-01-19,Dallas,715,146,105,35,416,16,2161.5
2023-01-19,Houston,737,154,111,33,433,20,2802.44
2023-01-19,Los_Angeles,2064,648,472,238,688,52,6836.47
2023-01-19,New_York,2645,853,626,362,789,68,9223.89
2023-01-19,Philadelphia,1040,290,186,68,471,29,4073.6
2023-01-19,Phoenix,648,126,94,23,396,14,1928.92
2023-01-20,Atlanta,757,163,116,31,438,11,1477.59
2023-01-20,Chicago,1182,296,225,108,546,35,4632.05
2023-01-20,Dallas,762,160,111,37,447,17,2266.69
2023-01-20,Houston,855,184,148,57,458,19,2631.92
2023-01-20,Los_Angeles,2038,622,464,253,693,57,7430.85
2023-01-20,New_York,2648,837,638,360,810,65,8677.1
2023-01-20,Philadelphia,977,231,169,68,504,28,3810.81
2023-01-20,Phoenix,653,128,86,21,414,14,1850.16
2023-01-21,Atlanta,614,109,77,15,402,12,1554.16
2023-01-21,Chicago,896,207,149,49,484,18,2291.68
2023-01-21,Dallas,689,168,97,19,390,21,2778.8
2023-01-21,Houston,651,126,89,27,401,19,2691.69
2023-01-21,Los_Angeles,1876,629,422,169,634,48,6283.35
2023-01-21,New_York,2251,725,526,268,718,47,6307.11
2023-01-21,Philadelphia,756,149,115,41,444,18,2438.59
2023-01-21,Phoenix,571,95,66,13,385,14,1896.95
2023-01-22,Atlanta,574,111,57,11,379,11,1536.3
2023-01-22,Chicago,913,234,152,43,465,14,1946.8
2023-01-22,Dallas,591,103,76,21,382,11,1550.99
2023-01-22,Houston,566,108,66,12,372,18,2568.81
2023-01-22,Los_Angeles,1700,508,366,166,632,48,6531.54
2023-01-22,New_York,2083,647,477,243,699,62,8519.35
2023-01-22,Philadelphia,679,128,99,28,411,9,1160.8600000000001
2023-01-22,Phoenix,602,142,77,16,353,21,2745.68
2023-01-23,Atlanta,666,132,88,21,415,17,2279.9900000000002
2023-01-23,Chicago,1154,296,223,90,531,38,5450.12
2023-01-23,Dallas,811,205,126,28,427,26,3551.86
2023-01-23,Houston,833,182,128,40,468,20,2667.7200000000003
2023-01-23,Los_Angeles,1939,584,437,219,682,50,6434.2300000000005
2023-01-23,New_York,2508,790,596,334,775,54,7707.98
2023-01-23,Philadelphia,914,216,146,51,478,17,2650.77
2023-01-23,Phoenix,598,95,72,17,403,18,2377.14
2023-01-24,Atlanta,662,130,93,29,405,20,2484.47
2023-01-24,Chicago,1138,291,220,88,527,21,2875.3
2023-01-24,Dallas,720,140,112,34,426,15,2070.92
2023-01-24,Houston,769,156,115,38,452,18,2413.0299999999997
2023-01-24,Los_Angeles,1844,548,413,212,665,32,4243.97
2023-01-24,New_York,2482,784,595,325,764,53,7272.28
2023-01-24,Philadelphia,913,204,158,57,485,23,3088.91
2023-01-24,Phoenix,596,97,75,14,407,13,1846.06
2023-01-25,Atlanta,722,153,99,31,426,19,2860.62
2023-01-25,Chicago,1134,294,211,81,535,23,3088.14
