lag_weeks,TV Broadcast,TV Cable,TV Streaming,Paid Search,Social,Display
0,0.057945046573877335,-0.06793398410081863,-2.221062660217285,1.4738231897354126,1.4908578395843506,2.436802864074707
1,-0.005534720607101917,-0.13579730689525604,-1.8748900890350342,1.8264720439910889,1.7834453582763672,2.8101446628570557
2,-0.16201478242874146,-0.23824401199817657,-1.767611026763916,2.3254852294921875,2.052607774734497,3.0533199310302734
3,-0.48345547914505005,-0.3989594280719757,-2.321094036102295,2.850607395172119,2.3296258449554443,3.2199738025665283
4,-1.1492801904678345,-0.6651535034179688,-3.2104949951171875,3.3540332317352295,2.6239349842071533,3.337679386138916
5,-2.344322443008423,-1.1383793354034424,-3.9213643074035645,3.773426055908203,2.9049947261810303,3.4225738048553467
6,-3.2700352668762207,-1.9476597309112549,-4.28862190246582,4.06596565246582,3.112914800643921,3.4848241806030273
7,-3.4912312030792236,-2.837028980255127,-4.439888000488281,4.238643169403076,3.2260632514953613,3.5311191082000732
8,-3.5417137145996094,-3.314777374267578,-4.498081207275391,4.329280376434326,3.277355670928955,3.5659892559051514
9,-3.563220739364624,-3.478818893432617,-4.521049499511719,4.373941898345947,3.3010590076446533,3.592564105987549
10,-3.575296640396118,-3.537942886352539,-4.530938625335693,4.3953938484191895,3.3136978149414062,3.6130435466766357
11,-3.582684278488159,-3.565572738647461,-4.5357489585876465,4.4056477546691895,3.321549415588379,3.6289939880371094
