week,actual,synthetic,gap,period
1,55498.89,53525.04045976645,1973.8495402335466,pre
2,59348.159999999996,60859.79331459924,-1511.6333145992467,pre
3,55140.990000000005,55317.38523190476,-176.39523190475302,pre
4,55436.350000000006,55314.85099335814,121.49900664186862,pre
5,51480.84,52298.037671964834,-817.1976719648374,pre
6,51844.93,50846.33404382081,998.5959561791897,pre
7,53992.76,49328.65703435363,4664.1029656463725,pre
8,52734.27,51638.376548752436,1095.8934512475607,pre
9,47540.22,50409.603924630355,-2869.383924630354,pre
10,46580.56,49525.25121116474,-2944.69121116474,pre
11,51845.39,49390.83962090834,2454.5503790916628,pre
12,53560.27,46074.494288293514,7485.775711706483,pre
13,45250.229999999996,48190.24218177933,-2940.0121817793333,pre
14,45234.89,46000.87771726048,-765.9877172604829,pre
15,49531.01,45363.644640053724,4167.365359946278,pre
16,39848.2,45533.25787611812,-5685.057876118124,pre
17,38624.38,47005.49681724321,-8381.116817243215,pre
18,45187.71,46608.022012457426,-1420.312012457427,pre
19,46177.12,45226.52646576417,950.5935342358353,pre
20,49098.490000000005,45455.297584891414,3643.1924151085914,pre
21,49295.71,46147.79940547569,3147.9105945243064,pre
22,37142.82,41892.24152934629,-4749.421529346291,pre
23,43336.71,41174.962203290175,2161.747796709824,pre
24,45037.2,44314.905466945194,722.2945330548027,pre
25,39385.92,43360.002701202895,-3974.0827012028967,pre
26,47579.5,46581.234404151386,998.2655958486139,pre
27,43966.36,42448.62303979174,1517.7369602082617,pre
28,41829.1,44437.338937871085,-2608.238937871087,pre
29,47918.65,43280.46561180687,4638.1843881931345,pre
30,43930.54,46461.72247881815,-2531.1824788181475,pre
31,49306.47,45484.73377077923,3821.736229220769,pre
32,48018.87,49595.101126505295,-1576.2311265052922,post
33,47324.3,49583.071686817486,-2258.771686817483,post
34,51734.36,48485.98787087389,3248.37212912611,post
35,48543.520000000004,53193.88330705616,-4650.3633070561555,post
36,52562.68,49965.8149884473,2596.865011552698,post
37,57637.200000000004,53449.72335965918,4187.476640340821,post
38,52265.26,52112.21014310314,153.04985689686146,post
39,55332.79,56683.858658980076,-1351.0686589800753,post
40,65774.97,61960.416492542055,3814.5535074579457,post
41,60355.53,63386.468625036934,-3030.9386250369353,post
42,67108.98,67647.2065386555,-538.2265386555082,post
43,61306.28,60683.83992959071,622.4400704092914,post
44,71699.42,70852.28073189218,847.1392681078141,post
45,76082.23,76235.76331838983,-153.53331838983286,post
46,75750.41,79486.93233645835,-3736.5223364583508,post
47,77123.76,70656.12719762047,6467.632802379521,post
48,70597.35,76887.5619855974,-6290.211985597387,post
49,70350.13,72112.40581047419,-1762.2758104741806,post
50,68410.12,69862.6352838881,-1452.515283888104,post
51,76416.01,75241.38208564074,1174.6279143592546,post
52,77428.24,73415.47939799786,4012.7606020021485,post
