date,dma,hour,sessions,direct_sessions,organic_sessions,paid_sessions,social_sessions,conversions,revenue
2023-01-01,Atlanta,0,14,1,1,0,12,0,0.0
2023-01-01,Atlanta,1,15,1,1,0,13,0,0.0
2023-01-01,Atlanta,2,14,2,0,0,12,0,0.0
2023-01-01,Atlanta,3,14,1,0,0,13,0,0.0
2023-01-01,Atlanta,4,19,2,0,0,17,0,0.0
2023-01-01,Atlanta,5,8,1,1,0,6,1,141.93
2023-01-01,Atlanta,6,11,1,0,0,10,0,0.0
2023-01-01,Atlanta,7,14,0,0,0,14,1,153.88
2023-01-01,Atlanta,8,20,5,1,0,14,0,0.0
2023-01-01,Atlanta,9,27,2,5,0,20,1,155.41
2023-01-01,Atlanta,10,21,2,2,1,16,0,0.0
2023-01-01,Atlanta,11,26,1,4,1,20,0,0.0
2023-01-01,Atlanta,12,21,2,4,1,14,0,0.0
2023-01-01,Atlanta,13,15,0,0,0,15,0,0.0
2023-01-01,Atlanta,14,4,0,1,0,3,0,0.0
2023-01-01,Atlanta,15,8,0,0,0,8,0,0.0
2023-01-01,Atlanta,16,18,4,2,0,10,2,331.59000000000003
2023-01-01,Atlanta,17,13,0,1,0,12,0,0.0
2023-01-01,Atlanta,18,23,5,0,0,18,2,214.26
2023-01-01,Atlanta,19,31,8,4,1,18,0,0.0
2023-01-01,Atlanta,20,27,6,3,0,18,2,216.38
2023-01-01,Atlanta,21,35,8,3,1,23,1,158.34
2023-01-01,Atlanta,22,29,6,1,0,20,0,0.0
2023-01-01,Atlanta,23,10,0,0,0,10,0,0.0
2023-01-01,Chicago,0,10,0,0,0,10,0,0.0
2023-01-01,Chicago,1,13,1,0,0,12,0,0.0
2023-01-01,Chicago,2,7,1,0,0,6,0,0.0
2023-01-01,Chicago,3,8,0,0,0,8,0,0.0
2023-01-01,Chicago,4,18,1,1,0,16,0,0.0
2023-01-01,Chicago,5,19,4,1,0,14,0,0.0
2023-01-01,Chicago,6,10,0,0,0,10,0,0.0
2023-01-01,Chicago,7,16,2,0,0,14,0,0.0
2023-01-01,Chicago,8,27,5,2,0,20,0,0.0
2023-01-01,Chicago,9,40,7,9,3,21,0,0.0
2023-01-01,Chicago,10,38,5,8,3,22,1,113.23
2023-01-01,Chicago,11,31,4,7,0,20,1,94.98
2023-01-01,Chicago,12,28,3,4,1,20,1,148.92
2023-01-01,Chicago,13,19,1,2,0,16,0,0.0
2023-01-01,Chicago,14,15,1,2,0,12,3,358.07000000000005
2023-01-01,Chicago,15,14,0,2,0,12,0,0.0
2023-01-01,Chicago,16,17,1,1,0,15,1,102.47
2023-01-01,Chicago,17,237,150,66,0,18,8,1162.47
2023-01-01,Chicago,18,43,13,7,1,22,0,0.0
2023-01-01,Chicago,19,71,25,11,4,28,1,153.86
2023-01-01,Chicago,20,63,20,10,7,26,1,108.76
2023-01-01,Chicago,21,56,17,11,3,25,2,258.63
2023-01-01,Chicago,22,49,15,5,2,24,1,130.84
2023-01-01,Chicago,23,23,4,2,0,17,0,0.0
2023-01-01,Dallas,0,12,1,0,0,11,0,0.0
2023-01-01,Dallas,1,6,0,0,0,6,0,0.0
2023-01-01,Dallas,2,15,1,0,0,14,0,0.0
2023-01-01,Dallas,3,9,0,0,0,9,0,0.0
2023-01-01,Dallas,4,11,0,0,0,11,0,0.0
2023-01-01,Dallas,5,11,1,0,0,10,1,108.53
2023-01-01,Dallas,6,13,0,0,0,13,1,142.86
2023-01-01,Dallas,7,14,1,0,0,13,0,0.0
2023-01-01,Dallas,8,17,2,1,0,14,1,121.65
2023-01-01,Dallas,9,26,3,4,2,17,1,162.56
2023-01-01,Dallas,10,20,0,5,0,15,1,156.99
2023-01-01,Dallas,11,19,0,2,0,17,1,165.54
2023-01-01,Dallas,12,21,0,3,0,18,0,0.0
2023-01-01,Dallas,13,10,0,0,0,10,0,0.0
2023-01-01,Dallas,14,12,0,1,0,11,2,237.60000000000002
2023-01-01,Dallas,15,10,1,1,0,8,0,0.0
2023-01-01,Dallas,16,17,5,1,0,9,0,0.0
2023-01-01,Dallas,17,18,3,1,0,12,2,245.94
2023-01-01,Dallas,18,25,5,2,0,16,3,308.05
2023-01-01,Dallas,19,47,13,7,2,22,1,93.33
2023-01-01,Dallas,20,39,10,6,1,22,1,133.0
2023-01-01,Dallas,21,29,7,2,2,18,0,0.0
2023-01-01,Dallas,22,37,10,2,1,20,0,0.0
2023-01-01,Dallas,23,15,3,1,0,11,0,0.0
2023-01-01,Houston,0,7,0,0,0,7,0,0.0
2023-01-01,Houston,1,23,7,3,0,9,2,264.65999999999997
2023-01-01,Houston,2,21,4,0,0,17,1,95.57
2023-01-01,Houston,3,9,0,0,0,9,1,163.96
2023-01-01,Houston,4,15,2,0,0,13,0,0.0
2023-01-01,Houston,5,16,1,0,0,15,2,247.89000000000001
2023-01-01,Houston,6,9,1,0,0,8,0,0.0
2023-01-01,Houston,7,12,0,0,0,12,0,0.0
2023-01-01,Houston,8,15,2,0,0,13,0,0.0
2023-01-01,Houston,9,18,2,2,0,14,0,0.0
2023-01-01,Houston,10,27,3,5,0,19,0,0.0
2023-01-01,Houston,11,20,0,2,0,18,1,94.28
2023-01-01,Houston,12,19,0,2,0,17,1,137.24
2023-01-01,Houston,13,22,0,5,0,17,1,136.12
2023-01-01,Houston,14,11,0,0,0,11,0,0.0
2023-01-01,Houston,15,13,1,2,0,10,0,0.0
2023-01-01,Houston,16,14,0,1,0,13,0,0.0
2023-01-01,Houston,17,19,1,1,0,16,1,178.06
2023-01-01,Houston,18,28,7,2,0,17,1,141.5
2023-01-01,Houston,19,45,13,6,2,22,0,0.0
2023-01-01,Houston,20,40,10,6,1,23,0,0.0
2023-01-01,Houston,21,28,6,4,1,17,2,275.78
2023-01-01,Houston,22,33,8,3,0,18,1,110.98
2023-01-01,Houston,23,13,1,0,0,12,0,0.0
2023-01-01,Los_Angeles,0,20,1,0,0,19,4,517.31
2023-01-01,Los_Angeles,1,26,5,2,0,19,0,0.0
2023-01-01,Los_Angeles,2,23,3,0,0,20,0,0.0
2023-01-01,Los_Angeles,3,30,6,5,0,19,2,220.86
2023-01-01,Los_Angeles,4,17,3,1,0,13,0,0.0
2023-01-01,Los_Angeles,5,23,4,1,0,18,0,0.0
2023-01-01,Los_Angeles,6,31,6,2,0,23,2,333.72
2023-01-01,Los_Angeles,7,34,10,4,0,20,0,0.0
2023-01-01,Los_Angeles,8,36,9,5,0,22,0,0.0
2023-01-01,Los_Angeles,9,58,12,15,7,24,2,280.5
2023-01-01,Los_Angeles,10,74,18,20,11,25,3,382.57
2023-01-01,Los_Angeles,11,64,13,19,7,25,2,217.85000000000002
2023-01-01,Los_Angeles,12,55,12,13,7,23,1,117.13
