week,month,channel,coefficient,spend,roas
1,1,TV Broadcast,-0.09596041465377658,109380.02,-0.09596041465377658
1,1,TV Cable,-0.06309511704517241,69507.24,-0.06309511704517241
1,1,TV Streaming,-5.090548958914447,19925.07,-5.090548958914447
1,1,Paid Search,8.900320729431169,52665.49,8.900320729431169
1,1,Social,1.1469744356127745,56025.25,1.1469744356127745
1,1,Display,1.4894573994351483,31615.15,1.4894573994351483
2,1,TV Broadcast,-0.033133699069489424,121738.6,-0.033133699069489424
2,1,TV Cable,-0.019088192697514668,76729.67,-0.019088192697514668
2,1,TV Streaming,-4.44755914006101,18108.86,-4.44755914006101
2,1,Paid Search,7.710337068582378,59089.47,7.710337068582378
2,1,Social,1.2495621861298563,49334.94,1.2495621861298563
2,1,Display,1.7431991013778727,6283.24,1.7431991013778727
3,1,TV Broadcast,0.054874717926639026,129096.26,0.054874717926639026
3,1,TV Cable,0.04142486441223512,72070.58,0.04142486441223512
3,1,TV Streaming,-3.730646851533136,19320.91,-3.730646851533136
3,1,Paid Search,6.675084675235472,52696.7,6.675084675235472
3,1,Social,1.3546105407209463,49922.15,1.3546105407209463
3,1,Display,1.6951691653501408,5141.49,1.6951691653501408
4,1,TV Broadcast,0.1331941544069437,119229.64,0.1331941544069437
4,1,TV Cable,0.09730700337848017,70300.34,0.09730700337848017
4,1,TV Streaming,-3.0615797887735363,14329.86,-3.0615797887735363
4,1,Paid Search,5.7636569057767995,57318.6,5.7636569057767995
4,1,Social,1.4616274284720618,59372.82,1.4616274284720618
4,1,Display,1.7486133769340448,30106.15,1.7486133769340448
5,1,TV Broadcast,0.18191505409969422,119748.63,0.18191505409969422
5,1,TV Cable,0.1384095308872344,77823.09,0.1384095308872344
5,1,TV Streaming,-2.398956114133495,18554.82,-2.398956114133495
5,1,Paid Search,4.840748145692798,55004.55,4.840748145692798
5,1,Social,1.5193189752400285,54953.16,1.5193189752400285
5,1,Display,1.7487691642781422,25921.71,1.7487691642781422
6,2,TV Broadcast,0.16786933467930532,102884.17,0.16786933467930532
6,2,TV Cable,0.13140063192184223,66478.29,0.13140063192184223
6,2,TV Streaming,-2.0918519753497966,20502.88,-2.0918519753497966
6,2,Paid Search,4.427934958582012,53920.25,4.427934958582012
6,2,Social,1.516617784352974,47576.19,1.516617784352974
6,2,Display,1.762042855495604,27797.55,1.762042855495604
7,2,TV Broadcast,0.13894250766724217,83171.18,0.13894250766724217
7,2,TV Cable,0.11274580698945086,4577.38,0.11274580698945086
7,2,TV Streaming,-2.018683934276044,12432.32,-2.018683934276044
7,2,Paid Search,4.360395322392916,59146.62,4.360395322392916
7,2,Social,1.5081110739932404,46645.22,1.5081110739932404
7,2,Display,1.7544943148488412,31050.82,1.7544943148488412
8,2,TV Broadcast,0.11149419905921232,81366.42,0.11149419905921232
8,2,TV Cable,0.08249933657254722,63743.14,0.08249933657254722
8,2,TV Streaming,-1.9514078490118827,14576.74,-1.9514078490118827
8,2,Paid Search,4.333997080296469,58441.2,4.333997080296469
8,2,Social,1.5040682147258595,44247.26,1.5040682147258595
8,2,Display,1.7572677676126662,27582.37,1.7572677676126662
9,2,TV Broadcast,0.08403935470874296,91735.48,0.08403935470874296
9,2,TV Cable,0.05302999049364839,62597.56,0.05302999049364839
9,2,TV Streaming,-1.8837446803236597,19010.9,-1.8837446803236597
9,2,Paid Search,4.311977262101694,57198.13,4.311977262101694
9,2,Social,1.500208833089303,46686.72,1.500208833089303
9,2,Display,1.7596743031357982,25586.16,1.7596743031357982
10,3,TV Broadcast,0.05492530283061867,75162.44,0.05492530283061867
10,3,TV Cable,0.02180504518021202,48338.9,0.02180504518021202
10,3,TV Streaming,-1.8537605358637939,9612.34,-1.8537605358637939
10,3,Paid Search,4.301657330160645,59853.9,4.301657330160645
10,3,Social,1.4946105368709766,6840.98,1.4946105368709766
10,3,Display,1.7673851107250302,32642.61,1.7673851107250302
11,3,TV Broadcast,0.02529122359990525,81789.36,0.02529122359990525
11,3,TV Cable,-0.007906296795059957,52557.54,-0.007906296795059957
11,3,TV Streaming,-1.8829486611493222,13582.39,-1.8829486611493222
11,3,Paid Search,4.348166011060115,53139.03,4.348166011060115
11,3,Social,1.450013368592991,39248.53,1.450013368592991
11,3,Display,1.7893635016167226,24813.17,1.7893635016167226
12,3,TV Broadcast,-0.006025411281635592,70111.94,-0.006025411281635592
12,3,TV Cable,-0.021659622910926164,48290.26,-0.021659622910926164
12,3,TV Streaming,-1.9231532809925382,9303.87,-1.9231532809925382
12,3,Paid Search,3.373901659943087,62480.03,3.373901659943087
12,3,Social,1.3549558427213162,43519.73,1.3549558427213162
