feature,mean_abs_shap,rank
dma_New_York,1.0133904506124587,10
hour_sin,0.9770439947556131,20
hour_cos,0.7670676805656764,1
dma_Los_Angeles,0.6728992414251538,13
organic_trend,0.349472722347432,4
is_weekend,0.221535209700228,7
month_cos,0.20253293273245201,19
dma_Chicago,0.13871707886011858,11
dma_Phoenix,0.11120215449223592,8
dma_Atlanta,0.09311110287961129,18
dow_4,0.08308643371302236,17
dma_Dallas,0.06750772902039631,21
is_holiday,0.06216103709221993,5
month_sin,0.052646579189796386,2
dma_Houston,0.04582431072248406,14
dow_3,0.039098688974159634,12
dma_Philadelphia,0.03490219965332724,9
dow_6,0.03263536508406545,3
dow_5,0.004681645293344001,6
dow_2,0.00242201620736236,15
dow_1,0.0020162156508031714,22
dow_0,0.001734503084418125,16
