week,week_start,month,tv_broadcast_spend,tv_cable_spend,tv_streaming_spend,paid_search_spend,social_spend,display_spend,total_spend,total_sessions,total_conversions,total_revenue,brand_search_volume
1,2023-01-01,1,109380.02,69507.24,19925.07,52665.49,56025.25,31615.15,339118.22,139985,4687,763608.07,138088
2,2023-01-08,1,121738.6,76729.67,18108.86,59089.47,49334.94,6283.24,331284.78,160668,5127,804241.49,125275
3,2023-01-15,1,129096.26,72070.58,19320.91,52696.7,49922.15,5141.49,328248.08,147519,4158,781113.22,134804
4,2023-01-22,1,119229.64,70300.34,14329.86,57318.6,59372.82,30106.15,350657.4,164780,5508,903581.43,140074
5,2023-01-29,1,119748.63,77823.09,18554.82,55004.55,54953.16,25921.71,352005.95,163760,5051,888081.94,138943
6,2023-02-05,2,102884.17,66478.29,20502.88,53920.25,47576.19,27797.55,319159.34,155578,5120,860435.27,114391
7,2023-02-12,2,83171.18,4577.38,12432.32,59146.62,46645.22,31050.82,237023.54,156166,4704,882381.08,80678
8,2023-02-19,2,81366.42,63743.14,14576.74,58441.2,44247.26,27582.37,289957.14,150298,4233,871754.36,88183
9,2023-02-26,2,91735.48,62597.56,19010.9,57198.13,46686.72,25586.16,302814.95,157827,5337,860150.51,112181
10,2023-03-05,3,75162.44,48338.9,9612.34,59853.9,6840.98,32642.61,232451.16,143185,4609,815245.94,78951
11,2023-03-12,3,81789.36,52557.54,13582.39,53139.03,39248.53,24813.17,265130.02,145257,4820,794561.26,67783
12,2023-03-19,3,70111.94,48290.26,9303.87,62480.03,43519.73,30436.72,264142.55,158033,5431,886298.9,70783
13,2023-03-26,3,87354.59,56822.29,14497.52,52280.63,39767.29,28037.42,278759.73,151864,4480,846035.94,92956
14,2023-04-02,4,77947.99,40198.77,11902.35,62203.67,39472.35,27833.29,259558.41,143124,4056,825231.66,68651
15,2023-04-09,4,15671.66,3332.19,9373.81,57147.19,32577.52,30110.49,148212.87,148667,4278,831124.94,45049
16,2023-04-16,4,70919.18,44699.96,8785.64,56898.48,29525.96,27255.09,238084.32,145067,4704,806596.69,70542
17,2023-04-23,4,69895.19,51043.74,10400.19,52370.94,36939.01,26265.25,246914.33,151410,4376,804684.06,64914
18,2023-04-30,4,60371.09,46397.25,9385.51,61507.76,37685.01,31779.18,247125.8,138559,4377,795029.51,58738
19,2023-05-07,5,61210.56,47945.54,13931.28,59107.85,33707.0,6887.4,222789.62,141004,4438,744431.11,49178
20,2023-05-14,5,68361.42,47748.93,14963.62,53998.38,36166.71,26795.1,248034.16,141779,4014,780292.04,66986
21,2023-05-21,5,78343.52,50671.69,10046.98,58931.12,37738.17,30784.76,266516.24,144878,4317,758735.74,72359
22,2023-05-28,5,76847.49,52677.28,9398.18,53098.23,35196.57,26890.76,254108.52,161006,4592,846100.97,60864
23,2023-06-04,6,5163.98,2750.22,8994.65,63042.89,5496.14,31097.77,116545.65,131263,3843,721883.76,38721
24,2023-06-11,6,57834.05,5310.66,7878.95,55944.61,27098.35,32997.96,187064.57,138508,4604,748884.77,54173
25,2023-06-18,6,62347.33,44846.22,9495.02,54052.67,26791.54,30345.77,227878.55,142113,4400,760920.65,61415
26,2023-06-25,6,65289.1,40848.37,8716.35,56949.5,30108.54,25380.92,227292.78,122063,3998,711905.88,42622
27,2023-07-02,7,64347.17,40377.76,8352.92,61665.26,33928.59,32138.61,240810.31,123522,3511,706950.11,54679
28,2023-07-09,7,63666.4,37309.93,7562.61,57805.68,32148.83,31061.54,229554.99,122088,3538,690768.8,55340
29,2023-07-16,7,63714.73,35645.22,12985.59,54170.27,30473.02,32899.98,229888.8,134382,4384,726267.0,47266
30,2023-07-23,7,54714.69,41171.28,10387.32,60310.77,5438.18,25237.09,197259.34,112423,3160,664739.24,46127
31,2023-07-30,7,58451.93,4253.21,8824.45,55408.41,32701.5,24806.06,184445.56,123773,4231,710690.66,48021
32,2023-08-06,8,60322.29,4070.02,12490.2,53091.95,34669.97,25971.65,190616.07,127985,4162,677448.41,53029
33,2023-08-13,8,70766.37,41700.18,12041.28,53802.2,33656.42,25301.63,237268.08,121784,3752,688808.4,77523
34,2023-08-20,8,69611.74,43221.65,12534.05,57446.06,37252.41,28859.68,248925.59,124197,3510,674412.65,76802
35,2023-08-27,8,59250.3,52441.63,14913.16,57499.94,33321.89,7103.27,224530.18,137170,4397,716135.2,61222
36,2023-09-03,9,94267.61,57382.02,16769.98,54536.42,47010.9,31858.54,301825.47,119423,3717,665366.75,92381
37,2023-09-10,9,91472.36,61861.81,12457.03,52958.72,44323.92,32158.15,295231.99,121844,3863,733780.97,91599
38,2023-09-17,9,76502.35,59723.93,13894.81,60469.57,39568.64,32125.97,282285.27,135848,4353,731787.28,102424
39,2023-09-24,9,7746.07,10622.25,11041.02,61381.7,43348.28,26947.01,161086.33,118581,3835,705318.18,59229
40,2023-10-01,10,96455.49,6390.84,21845.47,60209.8,44265.4,28384.95,257551.96,153511,4496,783092.59,110434
41,2023-10-08,10,109649.99,79080.15,20879.45,63156.86,45125.52,27852.13,345744.11,133444,4615,753010.85,138122
42,2023-10-15,10,104983.45,69556.48,14597.93,60219.92,58453.5,26400.15,334211.43,142702,4668,781320.03,125998
43,2023-10-22,10,102069.69,75361.72,20767.53,59396.01,45706.67,31126.45,334428.08,138749,4826,772582.18,111985
44,2023-10-29,10,98359.64,60553.17,12739.1,52427.04,56490.33,27277.68,307846.96,141695,4653,748552.67,103812
45,2023-11-05,11,135751.68,95422.34,22519.22,61644.24,71800.42,32440.23,419578.13,145860,4629,814601.94,190504
46,2023-11-12,11,120482.99,74877.65,17744.95,54292.71,68344.82,25260.04,361003.16,150727,4760,858195.27,153361
47,2023-11-19,11,28036.58,95969.94,22536.11,56852.09,58483.61,32826.61,294704.94,149095,4945,832808.63,111279
48,2023-11-26,11,19700.52,90493.58,15588.36,52877.6,73903.15,32271.63,284834.83,147289,5034,820264.47,118688
49,2023-12-03,12,115338.15,71754.24,16602.86,53878.38,60153.61,28028.64,345755.89,147780,4635,873628.58,146671
50,2023-12-10,12,132323.59,82868.76,18175.16,56046.89,69640.73,31358.37,390413.49,163186,4577,887781.05,156747
51,2023-12-17,12,116326.82,87649.71,24948.24,59318.49,69557.77,24763.88,382564.9,163754,4893,899882.71,144458
52,2023-12-24,12,129465.56,88902.44,23300.44,58305.51,58348.31,32874.48,391196.75,165290,5272,876937.75,141502
